Postcode Sector,LSOA11CD,IMD_Decile,Latitude,Longitude
NE290,E01008529,7.0,55.01249249615551,-1.448677323769152
NE302,E01008529,7.0,55.01249249615551,-1.448677323769152
NE290,E01008530,6.0,55.01072463654924,-1.4593789334728644
NE129,E01008531,8.0,55.00790640433561,-1.5539382636482648
NE288,E01008531,8.0,55.00790640433561,-1.5539382636482648
NE289,E01008531,8.0,55.00790640433561,-1.5539382636482648
NE288,E01008532,3.0,55.00804462842444,-1.5405229962201883
NE289,E01008532,3.0,55.00804462842444,-1.5405229962201883
NE288,E01008533,3.0,55.000587331702135,-1.5442425850694854
NE289,E01008533,3.0,55.000587331702135,-1.5442425850694854
NE288,E01008534,7.0,54.99946655976853,-1.5549774270612184
NE288,E01008535,5.0,54.99440581110691,-1.5491661142119229
NE287,E01008536,3.0,54.993636582650325,-1.5355539443352142
NE288,E01008536,3.0,54.993636582650325,-1.5355539443352142
NE288,E01008537,2.0,54.99210803606625,-1.5397649709896062
NE288,E01008538,8.0,55.01127079425772,-1.5457839966614748
NE289,E01008538,8.0,55.01127079425772,-1.5457839966614748
NE296,E01008539,5.0,54.994500676423286,-1.457835767924312
NE280,E01008540,1.0,54.99479662145791,-1.4784026686698015
NE296,E01008540,1.0,54.99479662145791,-1.4784026686698015
NE296,E01008541,1.0,54.99881080955373,-1.4674676140397125
NE280,E01008542,1.0,54.9954755453506,-1.4911013989614623
NE286,E01008542,1.0,54.9954755453506,-1.4911013989614623
NE280,E01008543,2.0,54.99204666352762,-1.4982109578280034
NE286,E01008543,2.0,54.99204666352762,-1.4982109578280034
NE287,E01008543,2.0,54.99204666352762,-1.4982109578280034
NE296,E01008544,1.0,55.00492481943506,-1.4498926197587567
NE296,E01008545,1.0,55.00141897137279,-1.4564287562525384
NE261,E01008546,10.0,55.052581086851774,-1.455644926140883
NE263,E01008546,10.0,55.052581086851774,-1.455644926140883
NE259,E01008547,10.0,55.05121965955135,-1.4720701834908123
NE263,E01008547,10.0,55.05121965955135,-1.4720701834908123
NE259,E01008548,10.0,55.0481309019514,-1.4838004887389786
NE250,E01008549,10.0,55.05852134963949,-1.4791761847530578
NE259,E01008549,10.0,55.05852134963949,-1.4791761847530578
NE261,E01008549,10.0,55.05852134963949,-1.4791761847530578
NE263,E01008549,10.0,55.05852134963949,-1.4791761847530578
NE264,E01008549,10.0,55.05852134963949,-1.4791761847530578
NE261,E01008550,10.0,55.04919316563091,-1.4526987131494262
NE263,E01008550,10.0,55.04919316563091,-1.4526987131494262
NE261,E01008551,9.0,55.06566087377387,-1.4632686664297394
NE264,E01008551,9.0,55.06566087377387,-1.4632686664297394
NE258,E01008552,7.0,55.03140695748588,-1.4846028496854131
NE259,E01008552,7.0,55.03140695748588,-1.4846028496854131
NE270,E01008552,7.0,55.03140695748588,-1.4846028496854131
NE298,E01008552,7.0,55.03140695748588,-1.4846028496854131
NE258,E01008553,8.0,55.03903423766384,-1.4640697399882605
NE259,E01008553,8.0,55.03903423766384,-1.4640697399882605
NE258,E01008554,4.0,55.03850601387149,-1.4576470168673652
NE258,E01008555,4.0,55.03428974171627,-1.457864472545512
NE258,E01008556,9.0,55.0288755959742,-1.4654443129211192
NE259,E01008556,9.0,55.0288755959742,-1.4654443129211192
NE298,E01008556,9.0,55.0288755959742,-1.4654443129211192
NE299,E01008556,9.0,55.0288755959742,-1.4654443129211192
NE298,E01008557,10.0,55.02282279008299,-1.4634563010623185
NE299,E01008557,10.0,55.02282279008299,-1.4634563010623185
NE302,E01008558,8.0,55.01653057600311,-1.4256613272511944
NE304,E01008558,8.0,55.01653057600311,-1.4256613272511944
NE302,E01008559,6.0,55.01609407889095,-1.4404913033685771
NE304,E01008560,8.0,55.02143085463879,-1.425404933635811
NE301,E01008561,3.0,55.01173288591217,-1.4362047035933687
NE302,E01008561,3.0,55.01173288591217,-1.4362047035933687
NE304,E01008561,3.0,55.01173288591217,-1.4362047035933687
NE302,E01008562,9.0,55.0257017484258,-1.431719100591859
NE303,E01008562,9.0,55.0257017484258,-1.431719100591859
NE304,E01008562,9.0,55.0257017484258,-1.431719100591859
NE302,E01008563,10.0,55.02128440112533,-1.4392662233251423
NE259,E01008564,10.0,55.04524382719709,-1.498600569614745
NE270,E01008565,5.0,55.0427744535109,-1.5259092714172
NE270,E01008567,3.0,55.03896739959817,-1.5012825428645404
NE270,E01008568,3.0,55.03179412643579,-1.501825637278451
NE270,E01008569,3.0,55.0296425886254,-1.507969555136368
NE270,E01008570,7.0,55.02483203350549,-1.5142863095779124
NE286,E01008571,2.0,54.99489499229075,-1.5116011526317172
